#PtermenStart,VarCount,MaxPterms,ResPterms,AvgVar/Term,Time
119,7,128,1,0.0,10.450862884521484
7,3,8,1,0.0,0.00018858909606933594
64,7,128,7,1.0,0.39490652084350586
7,6,64,6,5.833333333333333,7.367134094238281e-05
29,5,32,1,0.0,0.026562929153442383
6,3,8,3,1.0,9.250640869140625e-05
165,8,256,8,1.0,74.93871426582336
7,3,8,1,0.0,0.00018215179443359375
31,5,32,1,0.0,0.032431602478027344
10,4,16,2,1.5,0.0003685951232910156
50,7,128,7,1.0,0.10200643539428711
59,6,64,1,0.0,0.46280813217163086
239,8,256,8,1.0,167.42070293426514
235,8,256,1,0.0,182.20903849601746
12,4,16,2,2.0,0.0006339550018310547
7,3,8,3,1.0,0.00014257431030273438
9,5,32,4,4.0,0.0001499652862548828
8,5,32,5,4.0,9.846687316894531e-05
2,3,8,2,3.0,1.0728836059570312e-05
72,7,128,1,0.0,1.1652286052703857
39,6,64,1,0.0,0.05834388732910156
7,4,16,3,2.6666666666666665,0.00010371208190917969
48,6,64,1,0.0,0.16482949256896973
7,5,32,5,4.2,0.00011992454528808594
15,5,32,6,1.3333333333333333,0.0011935234069824219
6,3,8,3,1.0,0.00015687942504882812
51,7,128,8,1.125,0.046082496643066406
37,7,128,13,3.0,0.004459381103515625
140,8,256,1,0.0,34.80513858795166
49,7,128,10,1.8,0.0227508544921875
65,8,256,10,3.0,0.01302480697631836
26,5,32,2,0.5,0.01351475715637207
5,3,8,1,1.0,5.650520324707031e-05
54,6,64,1,0.0,0.3254251480102539
47,8,256,22,6.681818181818182,0.004240512847900391
4,4,16,3,3.6666666666666665,3.62396240234375e-05
47,7,128,6,1.0,0.034147024154663086
6,3,8,3,1.0,0.00010013580322265625
2,4,16,2,4.0,1.2636184692382812e-05
12,4,16,3,1.3333333333333333,0.0005824565887451172
167,8,256,1,0.0,72.99350309371948
57,6,64,1,0.0,0.4031352996826172
8,6,64,5,5.4,0.00014352798461914062
53,7,128,22,2.272727272727273,0.08492350578308105
13,4,16,3,1.0,0.0009620189666748047
50,6,64,1,0.0,0.20846176147460938
5,4,16,4,3.75,4.5299530029296875e-05
232,8,256,1,0.0,175.53767156600952
69,7,128,7,1.0,0.6456549167633057
9,5,32,6,3.6666666666666665,0.0001552104949951172
169,8,256,1,0.0,75.3017168045044
2,5,32,1,4.0,3.0994415283203125e-05
7,3,8,3,1.0,0.00013780593872070312
22,5,32,6,1.1666666666666667,0.005370140075683594
4,4,16,4,4.0,1.6927719116210938e-05
1,3,8,1,3.0,8.344650268554688e-06
13,4,16,4,1.0,0.000873565673828125
9,4,16,4,2.75,0.0001404285430908203
185,8,256,1,0.0,107.01658844947815
4,3,8,2,1.5,5.650520324707031e-05
2,6,64,2,6.0,1.2159347534179688e-05
28,5,32,4,1.0,0.015558242797851562
4,3,8,3,2.3333333333333335,3.552436828613281e-05
27,6,64,3,0.6666666666666666,0.008673429489135742
4,8,256,3,7.666666666666667,4.3392181396484375e-05
7,5,32,4,3.75,8.678436279296875e-05
116,7,128,7,1.0,7.625132083892822
14,4,16,1,0.0,0.001600027084350586
10,4,16,2,1.5,0.00031828880310058594
3,4,16,2,3.5,2.288818359375e-05
30,5,32,2,0.5,0.023287296295166016
3,3,8,2,2.0,2.6702880859375e-05
16,7,128,13,6.6923076923076925,0.00019121170043945312
30,5,32,5,1.0,0.022879362106323242
156,8,256,1,0.0,55.297662019729614
8,3,8,1,0.0,0.0002675056457519531
